city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tokyo,35.6897,139.6922,Japan,JP,Tōkyō,primary,37732000,13515271
Ōsaka,34.6939,135.5022,Japan,JP,Ōsaka,admin,15126000,2725006
Nagoya,35.1833,136.9000,Japan,JP,Aichi,admin,9197000,2320361
Yokohama,35.4442,139.6381,Japan,JP,Kanagawa,admin,3757630,3757630
Fukuoka,33.5900,130.4017,Japan,JP,Fukuoka,admin,2286000,1588924
Sapporo,43.0619,141.3544,Japan,JP,Hokkaidō,admin,1959313,1959313
Kawasaki,35.5167,139.7000,Japan,JP,Kanagawa,,1531646,1531646
Kōbe,34.6900,135.1956,Japan,JP,Hyōgo,admin,1521707,1521707
Kyōto,35.0117,135.7683,Japan,JP,Kyōto,admin,1463723,1463723
Saitama,35.8614,139.6456,Japan,JP,Saitama,admin,1325843,1325843
Hiroshima,34.3914,132.4519,Japan,JP,Hiroshima,admin,1198021,1198021
Sendai,38.2682,140.8694,Japan,JP,Miyagi,admin,1061177,1061177
Setagaya,35.6466,139.6532,Japan,JP,Tōkyō,,940071,940071
Nerima,35.7356,139.6517,Japan,JP,Tōkyō,,752608,752608
Ōta-ku,35.5614,139.7161,Japan,JP,Tōkyō,,748081,748081
Edogawa,35.7000,139.8833,Japan,JP,Chiba,,697932,697932
Adachi,35.7833,139.8000,Japan,JP,Tōkyō,,682326,682326
Itabashi,35.7667,139.6833,Japan,JP,Tōkyō,,584483,584483
Suginami-ku,35.6994,139.6364,Japan,JP,Tōkyō,,583609,583609
Kōtō-ku,35.6667,139.8167,Japan,JP,Tōkyō,,524310,524310
Katsushika-ku,35.7333,139.8500,Japan,JP,Tōkyō,,451772,451772
Shinagawa-ku,35.6000,139.7333,Japan,JP,Tōkyō,,415729,415729
Toyonaka,34.7833,135.4667,Japan,JP,Ōsaka,,401233,401233
Kita-ku,35.7500,139.7333,Japan,JP,Tōkyō,,353058,353058
Shinjuku,35.7014,139.7097,Japan,JP,Tōkyō,,349385,349385
Nakano,35.7074,139.6638,Japan,JP,Tōkyō,,344880,344880
Toshima,35.7333,139.7167,Japan,JP,Tōkyō,,297954,297954
Meguro,35.6333,139.6833,Japan,JP,Tōkyō,,288088,288088
Sumida,35.7000,139.8167,Japan,JP,Tōkyō,,272085,272085
Minato,35.6581,139.7514,Japan,JP,Tōkyō,,260486,260486
Bunkyō-ku,35.7167,139.7500,Japan,JP,Tōkyō,,240069,240069
Chōfugaoka,35.6506,139.5407,Japan,JP,Tōkyō,,238087,238087
Shibuya-ku,35.6594,139.7006,Japan,JP,Tōkyō,,235193,235193
Arakawa,35.7333,139.7833,Japan,JP,Tōkyō,,217891,217891
Taitō,35.7125,139.7800,Japan,JP,Tōkyō,,212038,212038
Nishitōkyō,35.7256,139.5383,Japan,JP,Tōkyō,,207436,207436
Kamirenjaku,35.6836,139.5595,Japan,JP,Tōkyō,,194460,194460
Chūō-ku,35.6667,139.7667,Japan,JP,Tōkyō,,169179,169179
Musashino,35.7177,139.5661,Japan,JP,Tōkyō,,148971,148971
Moriguchi,34.7375,135.5642,Japan,JP,Ōsaka,,141849,141849
Kokubunji,35.7109,139.4622,Japan,JP,Tōkyō,,129619,129619
Koganei,35.6995,139.5030,Japan,JP,Tōkyō,,127226,127226
Hōyachō,35.7483,139.5675,Japan,JP,Tōkyō,,102720,102720
Shibuya,35.6536,139.7092,Japan,JP,Tōkyō,,102056,102056
Komae,35.6348,139.5787,Japan,JP,Tōkyō,,84437,84437
Tanashichō,35.7275,139.5489,Japan,JP,Tōkyō,,78165,78165
Warabi,35.8256,139.6797,Japan,JP,Saitama,,74996,74996
